ruwana wichqay	cerrar sesión		2_76365
Llapanpa chawpimanta chutakuq	Radial básico		21767_779702
Llapanpa chayanan	Objetivo básico		21768_779703
Llapan pachaq siqin	Línea de tiempo básica		21769_779704
Venn nisqa llapanpa	Venn básico		21770_779705
Qinku rikchaypa munasqayki llinpikunaq yupaynin	Lista destacada con círculos abajo		21771_779706
Pirwaq llusun	Ciclo de bloques		21772_779707
Chevron nisqap yupaynin	Lista de cheurones		21773_779708
Qinku muyuq ñaupaqchana	Proceso curvo circular		21774_779709
Wisk'asqa chevron ñisqap ñaupaqchana	Proceso de cheurón cerrado		21775_779710
Qatinakuq kachikunaq ñaupaqchasqan	Proceso de flechas continuo		21776_779711
Qatinakuq pirwa	Bloque continuo		21777_779712
Qatinakuq llusu	Ciclo continuo		21778_779713
Qatinakuq rikchaykunap yupaynin	Lista de imágenes continua		21779_779714
Huñunakuq wachikuna	Flechas convergentes		21780_779715
Tupariq chawpimanta chutakuq	Radial convergente		21781_779716
Llasa harkaq wachikuna	Flechas de contrapeso		21782_779717
Saphin llusuq	Matriz de ciclo		21783_779718
K'isllasqa ñaupaqchanan	Proceso detallado		21784_779719
Taqarikuq Wach'ikuna	Flechas divergentes		21785_779720
Taqarikuq chawpimanta chutakuq	Radial divergente		21786_779721
chay masin yupanapaq	Ecuación		21787_779722
Willana ch'illchisqa	Embudo		21788_779723
K'arilliku	Engranaje		21789_779724
Tawak'uchuchasqaq saphin	Matriz de cuadrícula		21790_779725
Tantasqa Yupaynin	Lista agrupada		21791_779726
Ñiqi	Jerarquía		21792_779727
Kamachiqkamaq yupaynin	Lista de jerarquías		21793_779728
Tuyrukunaq kinranpa yupaynin	Lista de viñetas horizontal		21794_779729
kinranpa atawsanaysasqa	Jerarquía horizontal		21795_779730
Kinranpa rikchaykunaq yupaynin	Lista horizontal de imágenes		21796_779731
Kinranpa sutichasqa kamachiqkamata	Jerarquía etiquetada horizontal		21797_779732
Tikrasqa pikchu	Pirámide invertida		21798_779733
Sutichasqa kamachiqkamata	Jerarquía etiquetada		21799_779734
Venn ñisqa siqin	Venn lineal		21800_779735
Tukuy k'uchuman muyuykachaq llusu	Ciclo multidireccional		21801_779736
Qisachasqa Chayana	Objetivo anidado		21802_779737
Mana may k'uchuman muyuriq llusu	Ciclo sin dirección		21803_779738
Awqansimi Chayaynin	Flechas opuestas		21804_779739
Tawak'uchup Ñiqin	Organigrama		21805_779740
Rikch'akuq Ankhaniku Yupaynin	Lista de imágenes destacadas		21806_779741
Rikch'akuq Ankhaniku Ñaupaqchanan	Proceso de imágenes destacadas		21807_779742
Rikch'aykunaq Umanchayninkunaq Yupaynin	Lista de títulos de imágenes		21808_779743
Awqansimip Ñaupaqchanan	Flechas de proceso		21809_779744
Ruwaypa Yupaynin	Lista de procesos		21810_779745
Pikchup Yupaynin	Lista en pirámide		21811_779746
Chawpimanta Chutakuq Llusu	Ciclo radial		21812_779747
Chawpimanta chutakuq yupaynin	Lista radial		21813_779748
Chawpimanta Chutakuq Venn	Venn radial		21814_779749
Kutikipay Qinku Ñaupaqchana	Proceso curvo repetitivo		21815_779750
Taqarisqa Llusu	Ciclo segmentado		21816_779751
Taqarisqa Ñaupaqchanan	Proceso segmentado		21817_779752
T'akarisqa Pikchu	Pirámide segmentada		21818_779753
Tawqasqa yupaykuna	Lista apilada		21819_779754
PatapataThaskiynin	Proceso escalonado		21820_779755
Tawlaq Kamachiqkamata	Jerarquía de tabla		21821_779756
qelqayoq tabla	Tabla con lista		21822_779757
Chayaypa Yupaynin	Lista de objetivo		21823_779758
Qillqasqa Raphi Llusu	Ciclo de texto		21824_779759
Saphi Mosaico ñisqapi	Matriz en mosaico		21825_779760
Trapecio ñisqap Yupaynin	Lista de trapezoides		21826_779761
Wichayman Wachi	Flecha arriba		21827_779762
Sayampa Wach'i Siqi	Lista vertical de flechas		21828_779763
Qinku Ñaupaqchana Sayampa	Proceso curvo vertical		21829_779764
Sayampa Pirwakunaq Yupaynin	Lista vertical de bloques		21830_779765
Sayampa Tawak'uchukunaq Yupaynin	Lista vertical de cuadros		21831_779766
Sayampa Tuyrukunaq Yupaynin	Lista vertical de viñetas		21832_779767
Sayanpa Chevron ñisqaq Yupaynin	Lista vertical de cheurones		21833_779768
Sayanpa Yupaykunata Apaykachaq	Ecuación vertical		21834_779769
Sayanpa Rikchayninmanta Munasqayki Llinphikunaq Yupaynin	Lista con círculos a la izquierda		21835_779770
Sayampa Rikchayninkunaq Yupaynin	Lista vertical de imágenes		21836_779771
Sayampa Ñaupaqchana	Proceso vertical		21837_779772
Tawqasqa Venn	Venn apilado		21838_779838
yuyaysapa	inteligente		21839_779839
sinchi allinlla	sólido		21846_779967
serifa nisqawan	con serifa		21847_779972
iskaychaq unancha qillqaña	fórmula cuadrática		21873_780192
yanapaykuna quq	proveedor		21906_780474
camara	cámara		21926_780637
SIM PIN	PIN de SIM		21938_780781
tukuy niraq llankaq	dispositivo multifunción		21948_781514
qawachikuy	exponer		21951_1080693
reqsechiy	publicación		21957_781802
DMRC	DMRC		21985_782323
aswan willakuymanta imakuna churay	paquete de metadatos del dispositivo		21986_782325
qelqamanta aswan kaqkuna	paquete de metadatos		21986_782324
rikchayta musuqyachiy	recrear la imagen		21990_782330
kusqa llankaqkuna sasachakuy allichaq	Solucionador de problemas de compatibilidad de programas		21994_782341
pukuchu	globo		21996_782344
willay siqi	segmento de datos		22013_782377
qusqa qarakuqpalla	servidor dedicado		22015_782379
kawsay tupuq musyaq	sensor biométrico		22039_782585
quyuy musyaq	sensor de movimiento		22040_782586
ñawi ruru hapicheq	escáner retiniano		22041_782588
electrico musyaq	sensor eléctrico		22042_782589
kikillamanta musyaq	sensor mecánico		22043_782590
llapa ima musyaq	sensor ambiental		22044_782669
waqtanpi kaqkuna musyaq	sensor de proximidad		22045_782671
raphapaynin tareq musyana	sensor de identificación por radiofrecuencia		22047_1053912
RFID musyaq	sensor RFID		22047_782676
qanchay musyaq	sensor de luz		22048_782677
rakinachiy	desemparejar		22080_783138
Tupariq qawachiy	Vista de compatibilidad		22135_784819
pakasqa llika	red oculta		22183_1030869
InPrivate Maskay	Exploración de InPrivate		22185_1030897
Qatipaypa Harkaynin	Protección de rastreo		22186_1509231
imayna kaqpa yupin hatun reqsekuywan	símbolo del sistema con privilegios elevados		22193_1031378
Willakuy	Acerca de		22235_1032173
Llapanta qaway	Ver todo		22243_1032209
rimasqa	comentario		22246_1034324
ashka wasipi llankaqkuna	equipo de grupo en el hogar		22248_1034327
ashka wasipi sasachakuykuna allichaq	Solucionador de problemas de Grupo Hogar		22249_1034328
huñunay	agrupar		22259_1052661
allin qawanapaq tupachiy	Ajustar nitidez		22271_1034864
gadgets qelqana qawachina	Galería de gadgets de escritorio		22280_1037839
ClearType qelqa llankacheq	Optimizador de texto ClearType		22282_1037851
chaylla qapariyninpa iman	dispositivo de instantánea de volumen		22284_1038121
wasipi imakunapas kikillanmanta llamkaq patachaq	controlador de automatización de dispositivos del hogar		22308_1040625
tarqetakuna ñawinchaq	lector de tarjetas		22313_1040630
uchuy apaykachana	mini portátil		22317_1040657
qawana toqokuna qawachiq	Galería de ventanas		22318_1040988
SSD	SSD		22319_1054003
sayay masillan	del mismo nivel		22342_1043701
Click-to-Run	Hacer clic y ejecutar		22364_1043935
sutichay	etiquetar		22388_1044098
Media Foundation	Media Foundation		22433_1044558
Microsoft Media Foundation	Microsoft Media Foundation		22433_1044556
webpa suysusqan	filtrado web		22470_1045704
qelqasqakuna churana	archivo de suscripción		22490_1045759
allichaypi sasachakuykuna allichaq	Solucionador de problemas de mantenimiento		22492_1045783
hardware imankunapas sasachakuypi allichaq	Solucionador de problemas de hardware y dispositivos		22493_1045790
maskanapaq tinkuchiq	conector de búsqueda		22509_1047681
Microsoft Update Allichay Kasqan	Centro de soluciones de Microsoft Update		22516_1047720
qelqakuna rakinay	Segmentación de datos		22536_1047907
uchuy qelqaq	minigráfico		22541_1047912
allichakuy qawaq	vista Programación		22543_1047914
qawakuykuna reqsichiy	Presentación de imágenes		22545_1047918
Excel Mobile Viewer	Visor de Excel Mobile		22561_1048326
Word Mobile Viewer	Visor de Word para móvil		22562_1048367
SmartArt Picture Layout	Diseño de imágenes SmartArt		22564_1086975
SmartArt graphic Picture Layout	Diseño de imágenes gráficas SmartArt		22564_1048412
unaymanta tukuy ruwaq tinkuchiy	conexión multimedia remota		22595_1050253
yupay ñitina chimpuypaq	Teclado de marcado		22615_1050744
ukhun tinkisqa	vinculación en profundidad		22629_1052639
ch'iku	símbolo		22631_1052824
harkanapa kamachikuynin	Directiva de retención		22735_1054767
uyakuy	permitir		22781_1054938
PowerPC	PowerPC		22798_1055051
Qipaman	Atrás		22823_1055132
ñawpaqmanta churasqa	ubicación predeterminada		22865_1055946
maskanapaq suysuna	filtro de búsqueda		22911_1056204
askapi waqllikuy	daños en el montón 		22931_1056336
rukanallawan ñitina	teclado táctil		22944_1056351
netbook	ultraportátil		22975_1056711
achka takana	multitáctil		22992_1056887
CD hapychiq	grabadora de CD		23043_1057320
llapanchasqa hatun qelqakuna	Integridad de documentos		23092_1058116
kunanyachisqa	actualizado		23174_1060963
Kunan rapi	página Hoy		23177_1060970
Kunan	Hoy		23178_1060971
Tawak'uchuchiy	cuadro Para		23180_1060974
allichay	Correcciones		23184_1060982
Imaynaman tikray	Convertir en forma		23200_1062908
diapositiwawan reqsechiyta hapichiy	Grabar presentación con diapositivas		23201_1062909
hanaymanta qaway	vista aérea		23214_1064085
SVG	SVG		23319_1072509
ñawinchana qawanapaq	Vista de lectura		23331_1073321
tupaq	vinculación		23333_1087526
mana ñawinchasqa tikrasqakuna	Cambios no leídos		23334_1073349
ruwaqpa yupin	Marcas de autor		23336_1073640
achka ñitina	multitáctil		23361_1074891
tarikusqan	ubicación		23462_1082215
chaypunilla waqaychay	guardar automáticamente		23513_1086437
ñawpaq intiwatana qaway	Vista previa del calendario		23517_1086719
Microsoft Office webpi	Microsoft Office en la Web		23520_2781051
Office webpi	Office en la Web		23520_2781049
OneNote webpi	OneNote en la Web		23521_2781052
Microsoft OneNote webpi	Microsoft OneNote en la Web		23521_2781053
Microsoft PowerPoint webpi	Microsoft PowerPoint en la Web		23522_2781055
PowerPoint webpi	PowerPoint en la Web		23522_2781054
Word webpi	Word en la Web		23523_2781057
Microsoft Word webpi	Microsoft Word en la Web		23523_2781056
imayna qawanakuna kasqan	Estilos de imágenes		23530_1087132
Imayna videokuna kasqan	Estilos de video		23531_1087133
SDI	SDI		23532_1087135
huk hatun qelqapa interfaz	interfaz de un único documento		23532_1087134
uchuy willakuykuna harkaq	contenedor de notas		23537_1087288
karu llamkana	trabajo remoto		23562_2873212
uyaychay	transmitir		23584_2328433
chimpuy	guardar como marcador		23585_1088547
runapa sutichanan	etiqueta de persona		23598_1088662
Runapa sutichanankuna	Etiquetas de personas		23599_1088663
Purichiy kaypi	Reproducir en		23601_1088694
Dispositivopi Uyaychay	Transmitir en dispositivo		23601_2328434
maquina	máquina		23766_1089518
Haykuchisqa videopa clipnin	clip de video insertado		23840_1091236
haykuchisqa uyarinapa clipnin	clip de audio insertado		23841_1091237
qawachiq patachay	control de pestaña		23864_1091326
yaykuna	acceso		23871_1091334
wawakuna	menor		23872_1091335
ayllu	familia		23874_1091337
yapay	agregar		23875_1091338
kamachiy	administrar		23876_1091339
Live Mesh	Live Mesh		23919_1092267
hawanchay	superposición		24002_1093138
workstation	estación de trabajo		24016_1093171
munasqa lista	lista de deseos		24039_1097320
kutichimuy	recuperar		24051_1097914
ruwayninpa sanawnin tupuyninkuna	métrica de calidad de servicio		24057_1098418
ruwanan paqarinanta	fuente de actividades		24102_1098534
manaraq chaykumanta	evento previo		24106_1098539
bookmarklet	bookmarklet		24108_1098542
Llumpay ñakarichiymanta willakuy	Notificar abuso		24138_1098950
chutariy	extensión		24196_1115313
imallanpas sinchi llamk'ana	tarea con uso intensivo de recursos		24202_1115320
sandboxed ñisqa phaskaku	solución de espacio aislado		24212_1119987
riqsinaku llamk'ana	etiqueta temática		24216_1115334
riqsinaku willarina	datos de contenido social		24217_1115335
allin kaynin-ruwaynin-manta rikuchiq	indicador de calidad de servicio		24224_1115342
Maskay ñitina	botón de búsqueda		24287_1119142
Hawapim Rikhurin	Desconectadο		24360_2785708
Hawapim rihurin	Desconectado		24360_1124469
saywana	limitación		24372_1128217
.jpeg	.jpeg		24430_1132925
.bak	.bak		24447_1133045
.exe kipu	archivo .exe		24519_1133791
MMS	MMS		24523_1133864
.pst	.pst		24532_1134107
Writer	Writer		24539_1667483
OneDrive	OneDrive		24556_2026816
Microsoft OneDrive	Microsoft OneDrive		24556_2026815
Fotokuna qawachina	Galería de fotos		24559_1667370
Windows Fotokuna qawachina	Galería de fotos de Windows		24559_1667369
Messenger	Messenger		24568_1667486
Llikakunapas, Qunakunapas Chawpi	Centro de redes y recursos compartidos		24590_1136151
cinta	cinta de opciones		24594_1136229
Microsoft Hotmail	Microsoft Hotmail		24600_1635723
Hotmail	Hotmail		24600_1635716
Windows Essentials	Windows Essentials		24603_1636168
Microsoft yanapakuykuna	servicios Microsoft		24612_1973489
Maskay kayninta	Buscar con		24614_1136290
Bing	Bing		24616_1355343
urapa kanan	zona horaria		24685_1147666
Huñunakuy	Reunión		24779_1162910
Llusina kaspi	Paleta de pintura		24805_1162604
Excel Services	Excel Services		24826_1162704
Ukunta kuyuchiy	Quitar fondo		24903_1165764
Utqhay Kapuynin	Elementos rápidos		24928_1165905
kawsarichiy	restablecer		24931_1165919
Windows rimasqata riksiq	Reconocimiento de voz de Windows		25004_1167216
Bingpa Saywasiq’ikunan	Mapas de Bing		25102_1167443
Microsoft Excel Starter 2010	Microsoft Excel Starter 2010		25139_1168757
achka akllanapa tapunan	pregunta de opción múltiple		25171_1169607
Utqay tinkuykuna	Contactos rápidos		25198_1171267
Excel Calculation Services ñisqa	Excel Calculation Services		25325_1172940
Huchuy qillqa	subtítulo		25338_1172990
kichasqa huchuy willakuy	subtítulos (CC)		25338_1377188
PowerPoint Mobile Viewer	Visor de PowerPoint Mobile		25360_1173418
chaylla willakuy	enviar mensaje instantáneo		25374_1266974
t’inkisqa	ligadura		25402_1176598
PowerPoint kuyuynin	presentación de PowerPoint		25451_1176752
qelqakuna pusaq	guía de dibujo		25472_1176798
PowerPoint sayaynin	vista estática de PowerPoint		25475_1176808
yuyaynin artificial	inteligencia artificial		25514_1176914
AI	IA		25514_1176917
cc:Mail	cc:Mail		25542_1177001
PKC	PKC		25611_2667272
Utqhay Kapuynin kasqanmanta	Galería de elementos rápidos		25674_1177476
Utqhay qallariy	Inicio rápido		25738_1231857
Hapiymanta kamachiykuna	Términos de uso		25787_1216679
Runapa kaynin	Perfil		25798_1216733
Runakuna	contactos		25810_1217801
Chaski	Correo		25811_1217802
Astawan	Más		25813_1217804
Intiwatana	Calendario		25814_1217805
Ruwanakuna	Eventos		25815_1217807
Huñukuna	Grupos		25816_1217808
Kitikuna	Spaces		25817_1217809
Microsoft Warmakuna Harkaq	Microsoft Family Safety		25818_2174136
Warmakuna Harkaq	Protección infantil		25818_1217810
Apaykachana	Móvil		25819_1217811
Llapan yanapakuykuna	Todos los servicios		25821_1217813
Tupaqmasipa willakuynin	Información de contacto		25822_1217817
Unancha qillqata qhawaychay	Evaluar fórmula		25825_1217869
chiqaq apachimuq	remitente seguro		25857_1218387
Microsoft Excel Home and Student 2010	Microsoft Excel Hogar y Estudiantes 2010		25885_1230079
Windows Phone	Windows Phone		25900_1509435
Qullqi kutichipuy	Cashback		25901_1231845
Utqhay yapay	Agregar rápidamente		25902_1231846
Qillqawillakuqkuna	Documentos		25903_1231847
Bing	Bing		25904_1231848
Astawan ruway	Hacer más		25905_1231849
Dispositivokuna	Dispositivos		25906_1231850
Allin kanapaq kamachiy	Código de conducta		25907_1231852
Qunakusqa fotokuna	Fotos compartidas		25917_1231890
Kamachiykuna	Términos		25918_1231891
PC kiti	Sitio para PC		25919_1231893
Apaykachana kiti	Sitio para móvil		25921_1231895
runakunapa llikan	red social		25992_1253847
uchuylla qelqa	resumen		26004_1256406
takyay	consolidar		26050_1262328
OSC	OSC		26073_1262401
Runakunata Tarina	Panel de personas		26074_1262379
Qawachina rikukuynin	Vista Galería		26075_1262380
atawsanaysasqa thaykachi p'anqa	libreta jerárquica de direcciones		26080_1262397
HAB	LJD		26080_1262557
Willakuy Rimamusqam	Anuncio de conferencia		26144_2765595
Willakuy Rimamusqam llamkana	aplicación Anuncio de conferencia		26144_2765594
ruway	acción		26146_1264977
Tupu tikrachiq	Convertidor de medidas		26151_1265060
Excel Webpa Yanapayninkuna	Excel Web Services		26189_1270172
PowerPoint qhawaynin	Visualización de PowerPoint		26497_1275220
Rakinachiy	segmentación		26502_1275260
tawlapa rakinachiynin	segmentación de tabla		26502_2609433
sinrinapaq ñit'ina	tabulación de alineación		26505_1275408
kutirichiy	recuperar		26535_1275693
uyarina atipay	desafío de audio		26558_1276179
Excel churana	tabla de Excel		26571_1276626
jallich’ay	archivador		26586_1280146
jallich'aq	usuario archivador		26586_1346188
riqsinaku networking k'uchu	sitio de redes sociales		26588_1283619
Pipas	Alguien		26685_1380060
chullachay	personalizar		26714_1347086
masikuna	amigos		26720_1347110
hanpara llamkana	programa de escritorio		26735_1986256
video willakuykuna	mensajes de video		26737_1815478
willakuq	distintivo		26740_1354385
willay	narración		26769_1354855
wañuchiy	desactivar		26786_1355342
masi	amigo		26949_1359312
Tupaqmasikuna	Contactos		26977_1361740
Masikuna	Amigos		26979_1361742
ñawi-qhichiminpi rimamuykuna	conversaciones en pestañas		26982_1361745
lista	lista		26983_1361746
munasqayki	favorito		27004_1362158
ruwarina	actividad		27131_1365515
hatun pantay rapipi	error grave de página		27346_2330399
hatun pantay	error grave		27346_1370438
huchuy pantay rapipi	error leve de página		27347_2330398
huchuy pantay	error leve		27347_1370439
willakuy	informe		27457_1373977
pakapachiy	anonimizador		27498_1378793
Tupachisqa waqaychana	Carpeta sincronizada		27527_1379734
yanapakuy	servicio		27555_1381690
tupachisqa waqaychana	carpeta sincronizada		27565_1382243
webpa ruwachiynin	aplicación web		27588_1387437
web llamkana	aplic. web		27588_1406417
OneDrive camara taqi	álbum de cámara en OneDrive		27728_2027119
kay	presentar		27742_1427142
llamkanapa kamachiykuna	términos del servicio		27772_1448163
Inglesta yanapaq	Asistencia para inglés		27801_1464806
willariq	alerta		27850_1465579
pampa waykakunapaq	superficie expuesta a ataques		27852_1465584
carrusel qawana	vista de carrusel		27934_1468118
uyni	oferta		28144_1468763
IVA	IVA		28152_1468775
yupay qatipaypaq	número de seguimiento		28254_1475553
iñina computadora	equipo de confianza		28263_1475805
Microsoft	Microsoft		28286_1479033
Microsoft Corporation	Microsoft Corporation		28286_1509652
Microsoft Points	Microsoft Points		28541_1489075
churapay	reinstalación		28593_1489612
Lync Online (2 Plan)	Lync Online (plan 2)		28691_1490094
ruway	acción		28719_1491626
chanin	cantidad		28720_1491627
rukanawan yaykuchina	tableta táctil		29040_1504985
sutichasqa willayta qhawana	vista de elemento con nombre		29193_1644672
pakasqa sananpa	clave secreta		29257_1506854
tantiyana jap’iynin	medida calculada		29455_1508759
allin kananpaq qhawariqkuna	analizador de mantenimiento		29473_1508823
rimanakuspa qawarinapaq	demo interactiva		29491_1509012
qawarinapaq	demo		29491_1509011
lata p'isqu mudu	modo avión		29606_1509363
Live SDK	SDK de Live		29613_1598848
qunqaymanta qayana	llamada de emergencia		29679_1509705
tupuyusqa	prueba		29691_2058969
Telefonoy Tariy	Encuentra mi teléfono		29693_1509721
yapasqa impuesto	cargo invertido		29719_2368071
Aswan riqsisqa takiqkuna	Artistas top		29723_1510031
sapanchasqa telefono	teléfono particular		29734_1510055
tupaqnin	pareja		29753_1510091
kutipay	repetir		29770_1510147
Aswan riqsisqa taki churanakuna	Álbumes top		29793_1510194
Live Tile	Icono dinámico		29798_1803749
Rimakuykuna Uyarinapaq	Centro de negocios		29842_2579301
Microsoft Business Center	Centro de negocios de Microsoft		29842_2579299
watiqay harkaq programa	programa antispyware		29906_1511721
mapapi qawachiy	mostrar en el mapa		29922_1511979
mana yaykuna pacha	horario restringido		29924_1512068
uyakusqa pacha	tiempo permitido		29925_1512069
msinfo32.exe	msinfo32.exe		29969_1512915
Sistemamanta willakuy	Información del sistema		29969_1512914
musuq willakuykuna	novedades		29970_1512916
ñuqa	yo		29971_1512917
glifo sinri	secuencia de glifos		29992_1513484
Kuyuq Yuyaynin	Memoria dinámica		30507_1516646
AIA	AIA		30508_1516648
yanapakuqpa willakuyninman yaykuna	acceso a información de entidad emisora		30508_1516647
Yachayniyuq Tarjetawan chiqa Harkaykuna Ruwanapaq	proveedor de servicios criptográficos basado en tarjetas inteligentes		30509_1516649
Yachayniyuq Tarjetawan CSP nisqa	CSP basado en tarjetas inteligentes		30509_1516650
CAPI2	CAPI2		30510_1516652
CryptoAPI 2.0	CryptoAPI 2.0		30510_1516651
CDP	CDP		30512_1516656
chiqaqchay wischunapaq lista maypi rakinapaq	punto de distribución de lista de revocación de certificados		30512_1516655
CA qukuq	CA emisora		30513_1516658
chiqaqchay qukuqpa kamachiqnin	entidad de certificación emisora		30513_1516657
tikranapaq hina kay	modo de solo renovación		30517_1516667
digital yupi	huella digital		30520_1516672
sasachakuy	gravedad		30553_1517506
hapichisqa chiqaqchay	encadenamiento de certificados		30589_1517629
yanapakuqpa chiqaqchana kichanan	Identificador de clave de entidad emisora		30590_1517630
AKI	AKI		30590_1517631
qillqachakun	suscripción		30861_1555644
qatimuy	seguir		30900_1567772
Outlook Connector Pack	Outlook Connector Pack		30961_1579321
tupachisqa	contacto		30985_1579880
mana tupachisqa	desconectado		30989_1584352
akllanapaq mana harkasqa ruwana	lista de accesos permitidos		30992_1584354
uyakusqa llamkana	aplicación permitida		30993_1584355
mana harkasqa hapina web	sitio web permitido		30994_1584358
rimanakuna	conversación		30997_1584658
willakuq dispositivo	notificación de dispositivo		30998_1585124
Live Connect	Live Connect		31002_1586827
Windows Developer Qawarinapaq	Windows Developer Preview		31003_1586834
takiy	canción		31019_1587825
tupusqa willakuy wakichana	plan de datos según uso		31042_1587851
riqsichiq	editor		31060_1588673
Karu yuyayman utqaylla chayay	acceso directo a memoria remota		31082_1592184
RDMA	RDMA		31082_1592185
Qapaq huñunakuy	grupo primordial		31087_1624465
rakina	distribución		31098_1596717
imayna waqaychana	distribución de almacenamiento		31098_1596715
kuskachasqa	de paridad		31101_1596721
waqaychana qukuq	proveedor de almacenamiento		31102_1596722
waqaychana huñu	grupo de almacenamiento		31103_1596723
virtual disco	disco virtual		31104_1596724
utqaylla qallariy	inicio rápido		31118_1630222
qapaq qallariy sananpa	código de arranque maestro		31152_1597055
llamkanakuna hapiqnin	contenedor de la aplicación		31293_1598403
Windows SmartScreen	Windows SmartScreen		31294_1627809
Kikillamanta allichaq	Mantenimiento automático		31295_1598405
Bitlockerwan pakasqa churay	instalación cifrada con BitLocker		31296_1598406
BitLocker Enterprise	BitLocker Enterprise		31297_1598407
Client Hyper-V	Cliente Hyper-V		31299_1598409
yaykunapaq kuyuq kamachina	control de acceso dinámico		31304_1598622
Kipupa willarinan	Historial de archivos		31305_1598623
Microsoft yupay	cuenta de Microsoft		31306_1598625
Ruwaqkunapaq Lliw Simikuna	Interfaz de usuario multilingüe		31307_1598626
kipukuna akllaq	selector de archivos		31309_1598627
willana	notificación		31314_1598854
banner willakuywan	banner de notificación		31317_2276531
Windows Chiqaqchanapaq Programa	Programa de certificación de Windows		31318_1598877
Windows Hanparapi Llamkanakuna Chiqaqchaq	Kit para la certificación de aplicaciones de escritorio en Windows		31319_1598879
Windows Hardware Chiqaqchaq	Kit para la certificación de hardware en Windows		31320_1598880
Windows Hardware Chiqaqchaq	HCK en Windows		31320_1785295
Hardware Chiqaqchaq	HCK		31320_1785294
utqaylla kawsarichiy	restablecimiento rápido		31321_1598885
Harkasqa qallariy	Arranque seguro		31322_1683118
Yachaysapa virtual tarjeta	Tarjeta inteligente virtual		31323_1598887
Windows kawsarichiy	activación de Windows		31324_1598888
muyuy	girar		31325_1599052
muyuy uya	gesto de girar		31326_1599053
muyuy	girar		31326_1599054
WID	WID		31333_1600001
Windows Internal Database	Windows Internal Database		31333_1600000
tupusqa Internet tinkichina	conexión a Internet de uso medido		31342_1600013
Windows AC	Windows Assessment Console		31359_1601089
Ruwana pacha	Agente de eventos de tiempo		31364_1604229
Ruwana pacha	Agente de eventos de tiempo		31364_1604230
rikch'ayninmanta tawak'uchu	estilo de gráfico		31477_1606280
huñu	bloque		31478_1606299
huk llimpi	color de énfasis		31508_1606384
yupaypa rikchaynin	imagen de cuenta		31509_1606385
rikchay	imagen		31509_1606386
llamkanakuna siqi	barra de la aplicación		31510_1606387
contextual kamachina siqi	barra de comandos contextual		31510_2398703
qillqanapa ukun	fondo		31511_1606388
Windows Intiwatana	Calendario de Windows		31512_1606389
Intiwatana	Calendario		31512_1606392
Windows Qayay	Llamadas de Windows		31513_1606390
Qayay	Llamadas		31513_1606391
yaykuna	acceso		31514_1606393
hanpara llamkana	programa de escritorio		31515_1990769
makiwan qillqana qata	panel de escritura a mano		31516_1606395
Windows Chaski	Correo de Windows		31517_1606396
Chaski	Correo		31517_1606397
qapaq llamkana	aplicación principal		31518_1606398
Windows Willakuykuna	Mensajes de Windows		31519_1606399
Willakuykuna	Mensajes		31519_1606400
Windowspi Ñawinchaq	Lector de Windows		31520_1668219
Ñawinchaq	Lector		31520_1684493
Runakuna	Contactos		31521_1606403
Windows Runakuna	Contactos de Windows		31521_1606402
Microsoft Fotokuna	Fotos de Microsoft		31522_2154835
Fotokuna Ñawpaq qawana	Vista previa de fotos		31522_2158518
Windows Fotokuna	Fotos de Windows		31522_1606404
Fotokuna	Fotos		31522_1606405
rukana asuykachiy	alejar		31523_1606406
ñitipay	mantener presionado		31524_1606407
ñitirayay	mantener presionado		31525_1606409
Windows allichay	restaurar Windows		31526_1606410
Windows kawsarichiy	restablecer Windows		31527_1606411
OneDrive	OneDrive		31530_2027121
Microsoft OneDrive	Microsoft OneDrive		31530_2027120
kuyuchiy	deslizar		31531_1606456
kuyuchiy	deslizar		31532_1606458
kuyuchiy uya	gesto de deslizar		31532_1606457
tarichiqta jatunllachiy	controlador de tamaño		31533_1606472
winasqa llamkana	aplicación acoplada		31535_1606474
chinpachiy	deslizar el dedo		31538_1606478
chinpachiy	deslizar rápidamente		31539_1606480
chinpachiy uya	gesto de deslizar rápidamente		31539_1606479
ñitiy	pulsar		31540_1606482
ñitiy uya	gesto de pulsar		31540_1606481
yanapay qillqa	sugerencia		31541_1606483
mamarukapaq ñitina	teclado para pulgares		31542_1606484
ñitina	teclado		31542_1606485
icono	ventana		31543_1606486
qawanapi ñitina	teclado táctil		31544_1606487
ñitina	teclado		31544_1606488
Xbox Video	Xbox Video		31545_1775122
Video	Video		31545_1606490
Windows To Go	Windows To Go		31547_1606493
Takiy	Música		31548_1606495
Camara	Cámara		31549_1606498
Windows Camara	Cámara de Windows		31549_1606496
mastariy	acercar		31550_1606499
waqwan t’inkisqa	vinculación de contactos		31572_1606713
Imayna kaman imamanta ruwanata raphi	panel Formato de objetos		31574_1606715
willakuq	notificación		31585_1606726
Willakuq	Narrador		31592_1608135
Usqay T’aqwiriy	Exploración rápida		31621_1608186
imamanta rimay yawarmasi	familia de temas		31623_1608189
imamanta rimay tikrachiq	variación de tema		31625_1608191
WNS	WNS		31641_1635641
Windows winay willarinakuna yanapakuykuna	Servicios de notificaciones de inserción de Windows		31641_1608219
sincronico tikray	conversión sincrónica		31649_1608227
tarichiq t'uqpina chikllay	controlador de selección por toque		31650_1608228
paquete llamkanapaq	paquete de aplicación		31660_1608236
