Jesucristo aillu quillca, Davidmanda mirai, David Abrahanmanda mirai.	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham	b.MAT.1.1
Paiguna Jesusta cutipanauca: Abrahanmanda miraiguna anchi, imahoras pitas mana sirvishcanchichu	Le respondieron:  Somos descendientes de Abraham y jamás hemos sido esclavos de nadie	b.JOH.8.33
¿Imarasha ningui, Liuriyachishcauna anguichi?	¿Cómo dices tú: "Llegaréis a ser libres"	b.JOH.8.33
Jesús paigunara cutipaca: Cierto pacha cangunara nini, maicans uchara rasha, uchara sirvij tucun.	Jesús les respondió:  De cierto, de cierto os digo que todo aquel que practica el pecado es esclavo del pecado	b.JOH.8.34
Shinajpi Churi cangunara liuriyachijpi, cierto pacha liuriyachishcauna tucunguichimi.	Así que, si el Hijo os hace libres, seréis verdaderamente libres	b.JOH.8.36
Paiguna cutipanauca: Ñucanchi yaya Abrahanmi	Respondieron y le dijeron:  Nuestro padre es Abraham	b.JOH.8.39
Jesusga nica: Canguna Abrahamba churiuna asha, Abraham rashcaunara ranguichimami.	Jesús les dijo:  Puesto que sois hijos de Abraham, haced las obras de Abraham	b.JOH.8.39
Cunaga ñucara huañuchinara mascanguichi, ñuca Diosmanda uyashcara cierto shimira rimaj	Pero ahora procuráis matarme, hombre que os he hablado la verdad que oí de parte de Dios	b.JOH.8.40
Abraham mana caita rarcachu.	¡Esto no lo hizo Abraham	b.JOH.8.40
Canguna yaya rashca tupura ranguichi	Vosotros hacéis las obras de vuestro padre	b.JOH.8.41
Shinajpi judioguna paita ninauca: Ñucanchi mana shujhua tacarishcamanda pagarishcachu anchi	Entonces le dijeron:  Nosotros no hemos nacido de fornicación	b.JOH.8.41
Shu yayara charinchi, paiga Diosmi.	Tenemos un solo padre, Dios	b.JOH.8.41
¿Imarasha ñuca shimira mana intindinguichichu? Ñuca rimashcara mana uyashcamanda mana intindinguichichu.	¿Por qué no comprendéis lo que digo? Porque no podéis oír mi palabra	b.JOH.8.43
Nucaga cierto shimira rimashcamanda, mana quirinhuanguichi ñucara.	Pero a mí, porque os digo la verdad, no me creéis	b.JOH.8.45
¿Cangunamanda maican ñucara uchamanda causayachinzhu? Ñuca cierto shimira rimasha, ¿imaraigu mana quirihuanguichi?	¿Quién de vosotros me halla culpable de pecado? Y si digo la verdad, ¿por qué vosotros no me creéis	b.JOH.8.46
Maicans Diosmanda aj, Dios rimashcara uyan	El que es de Dios escucha las palabras de Dios	b.JOH.8.47
Caimanda mana uyahuanguichi, canguna mana Diosmanda ashcaraigu.	Por esta razón vosotros no las escucháis, porque no sois de Dios	b.JOH.8.47
Shinajpi judioguna Jesusta cutipanauca: ¿Manzhu ali rimashcanchi, Can Samaría runa angui, supaiyuj angui? nisha.	Respondieron los judíos y le dijeron:  ¿No decimos bien nosotros que tú eres samaritano y que tienes demonio	b.JOH.8.48
Jesús cutipasha rimaca: Supaira mana charinichu, astaun ñuca Yayara ahuayachiuni	Respondió Jesús:  Yo no tengo demonio	b.JOH.8.49
Cangunaga ñucara mana ahuayachinguichichu.	Más bien, honro a mi Padre, pero vosotros me deshonráis	b.JOH.8.49
Cierto pacha cangunara nini: Maicans ñuca rimashcara huacachisha, huiñaigama huañuira mana ricungachu.	De cierto, de cierto os digo que si alguno guarda mi palabra, nunca verá la muerte para siempre	b.JOH.8.51
Canguna Abraham yaya ñuca punzhara ricungarausha cushiyaca	Abraham, vuestro padre, se regocijó de ver mi día	b.JOH.8.56
Ricucami, ricushaga cushi tucuca.	Él lo vio y se gozó	b.JOH.8.56
Shinajpi paiguna: Can manara pichca chunga huatara charingui, ¿Abrahanda ricushcanguichu? ninauca.	Entonces le dijeron los judíos:  Aún no tienes ni cincuenta años, ¿y has visto a Abraham	b.JOH.8.57
Jesús cutipaca: Cierto pacha cangunara nini: Manara Abraham tiajllaira, ñuca maní.	Les dijo Jesús:  De cierto, de cierto os digo que antes que Abraham existiera, Yo Soy	b.JOH.8.58
Yachachishca runauna paita: Yachachij, ninauca: ¿Pi ucharashcamanda cai runa ñausa pagarimuca, paulara paihua yayaunamanda?	y sus discípulos le preguntaron diciendo:  Rabí, ¿quién pecó, éste o sus padres, para que naciera ciego	b.JOH.9.2
Jesús cutipaca: Mana pai ucharashcamanda, mana paihua yayauna ucharashcamanda ñausa pagarica	Respondió Jesús:  No es que éste pecó, ni tampoco sus padres	b.JOH.9.3
Shina tucuca Dios ranaunara paihuajpi ricuchingaj.	Al contrario, fue para que las obras de Dios se manifestaran en él	b.JOH.9.3
Ministirinmi ñucara cachamujpa ranaunara rangaj punzha ajllaira	Me es preciso hacer las obras del que me envió, mientras dure el día	b.JOH.9.4
Tuta shamujpi mana pihuas ushan tarabanara.	La noche viene cuando nadie puede trabajar	b.JOH.9.4
Ñuca cai pachai tiaushca horas, cai pacha punzha ani.	Mientras yo esté en el mundo, luz soy del mundo	b.JOH.9.5
Casna rimasha, Jesús allpai tiucaca, tiucahua turura apiyachica, turura ñausa runa ñahuii llutaca.	Dicho esto, escupió en tierra, hizo lodo con la saliva y con el lodo untó los ojos del ciego	b.JOH.9.6
Paihua mayambi causajguna pai ñausa ashcara ricsijgunas ninauca: Caiga, ¿manzhu mañasha tiaj runa?	Entonces los vecinos y los que antes le habían visto que era mendigo decían:  ¿No es éste el que se sentaba para mendigar	b.JOH.9.8
Paita ninauca: Camba ñahui ¿imasna rasha pascarinauca?	Entonces le decían:  ¿Cómo te fueron abiertos los ojos	b.JOH.9.10
Shinajpi: ¿Pai maibirai? ninauca: Runaga: Mana yachanichu, cutipaca.	Y le dijeron:  ¿Dónde está él? Él dijo:  No sé	b.JOH.9.12
Fariseogunama cai ñaupa horas ñausa aj runara pushanauca.	Llevaron ante los fariseos al que antes era ciego	b.JOH.9.13
Samana punzha maca Jesús turura rasha paihua ñahuiunara pascaca.	porque el día en que Jesús hizo lodo y le abrió los ojos era sábado	b.JOH.9.14
Shinajpi fariseogunamanda huaquinguna: Cai runa mana Diosmandachu, ninauca, samana punzhara mana huacachin	Entonces algunos de los fariseos decían:  Este hombre no es de Dios, porque no guarda el sábado	b.JOH.9.16
Shujgunaga: Uchayuj runa, ¿imasna cai munanaita ricurínaunara rangachu? Paríjumanda piñanausha rimananauca.	Pero otros decían:  ¿Cómo puede un hombre pecador hacer tales señales? Había una división entre ellos	b.JOH.9.16
Cutillara ñausa aj runara rimanaun: Canga, ¿imara ningui paimanda, pai camba ñahuira pascajta? Runa cutipaca: Paiga Diosmanda rimajmi nini.	Entonces volvieron a hablar al ciego:  Tú, ¿qué dices de él, puesto que te abrió los ojos? Y él dijo:  Que es profeta	b.JOH.9.17
Paigunara tapunauca: ¿Caichu canguna churi, ñausa pagarij nishca? ¿Ima rasha cuna ricun?	y les preguntaron diciendo:  ¿Es éste vuestro hijo, el que vosotros decís que nació ciego? ¿Cómo, pues, ve ahora	b.JOH.9.19
Yayauna cutipasha: Cai ñucanchi churi asnearas yachanchi, pai ñausa pagarishcaras yachanchi, ninauca.	Respondieron sus padres y dijeron:  Sabemos que éste es nuestro hijo y que nació ciego	b.JOH.9.20
Chiraigumanda yayauna: Iyaiyujmi, paita tapuichi, ninauca.	Por esta razón dijeron sus padres: "Edad tiene; preguntadle a él.	b.JOH.9.23
Shinajpi ñausa aj runara cüti cay anauca; paita rimasha: Diosta alabairi, nisha, chi runa uchayuj ajta yachanchi, ninauca.	Así que por segunda vez llamaron al hombre que había sido ciego y le dijeron:  ¡Da gloria a Dios! Nosotros sabemos que este hombre es pecador	b.JOH.9.24
Fariseoguna cutillara runara ninauca: ¿Imara rarca canda? ¿Imasna rashara camba ñahuira pascaca?	Luego le dijeron:  ¿Qué te hizo? ¿Cómo te abrió los ojos	b.JOH.9.26
Paita caminauca, nisha: Canmi pai yachachishca runa angui; astaun ñucanchi Moisés yachachishca runauna manchi.	Entonces le ultrajaron y dijeron:  ¡Tú eres discípulo de él! ¡Pero nosotros somos discípulos de Moisés	b.JOH.9.28
Dios Moisesta rimashcara yachanchi; randi cai runa maimanda pai asnearas mana yachanchichu.	Nosotros sabemos que Dios ha hablado por Moisés, pero éste, no sabemos de dónde sea	b.JOH.9.29
Runaga cutipaca: Cierto pacha caita manzhanaitami, canguna pai ajta mana yachanguichi, shina ajllaira ñuca ñahuira pascahuacami.	Respondió el hombre y les dijo:  ¡Pues en esto sí tenemos una cosa maravillosa! Que vosotros no sepáis de dónde es, y a mí me abrió los ojos	b.JOH.9.30
Dios uchayujgunara mana uyanzhu, caita yachanchi; randi maicans Diosta manzhasha, paihua munaira rashas, Dios paita uyanmi.	Sabemos que Dios no oye a los pecadores; pero si alguien es temeroso de Dios y hace su voluntad, a ése oye	b.JOH.9.31
Callarimanda mana uyarishcachu aca shu runa pagarishcamanda ñausa ajta, ñahuira pascai tucungaj.	Desde la eternidad nunca se oyó que alguien abriese los ojos de uno que había nacido ciego	b.JOH.9.32
Cai runa mana Diosmanda asha, mana imaras ranara ushanma.	Si éste no procediera de Dios, no podría hacer nada	b.JOH.9.33
Paita cutipasha ninauca: Can uchallai pagarimucangui, ¿shinashas ñucanchira yachachihuangui? Shinajpi, paita canzhama ichunauca.	Le contestaron diciendo:  Tú naciste sumido en pecado, ¿y tú quieres enseñarnos a nosotros? Y lo echaron fuera	b.JOH.9.34
Jesús paita ichushcara uyasha, paita tarisha rimaca: ¿Diospa Churu quiringuichu? nisha.	Jesús oyó que lo habían echado fuera; y cuando lo halló, le dijo:  ¿Crees tú en el Hijo del Hombre	b.JOH.9.35
Runa cutipaca: ¿Paiga pitangairi, Señor, ñuca paihuajpi quiringaj?	Él respondió y dijo:  Señor, ¿quién es, para que yo crea en él	b.JOH.9.36
Jesús nica: Paita ricushcangui; canhua rimau ñuca mani.	Jesús le dijo:  Le has visto, y el que habla contigo, él es	b.JOH.9.37
Jesús nica: Ñuca taripangaj cai pachama shamucani, mana ricujguna ricunauchu, ricujgunas ñausa tucunauchu.	Y dijo Jesús:  Para juicio yo he venido a este mundo; para que vean los que no ven, y los que ven sean hechos ciegos	b.JOH.9.39
Fariseogunamanda huaquinguna paihua pariju tiajguna cai shimira uyasha ninauca: ¿Ñucanchis shinallara ñausachu anchi?	Al oír esto, algunos de los fariseos que estaban con él le dijeron:  ¿Acaso somos nosotros también ciegos	b.JOH.9.40
Jesús nica: Canguna ñausa ashaga ucha illajguna anguichima; randi cuna: Ricunchimi, nisha, caimanda canguna ucha saquirin.	Les dijo Jesús:  Si fuerais ciegos, no tendríais pecado; pero ahora porque decís: "Vemos", vuestro pecado permanece	b.JOH.9.41
Jesús nica: Cierto pacha cangunara nini: Maican runa borrego cularbi icusha, mana pungura pasasha, astaun shu partii quinzhara sicasha, casna runa shuhuajmi.	"De cierto, de cierto os digo que el que no entra al redil de las ovejas por la puerta, sino que sube por otra parte, ése es ladrón y asaltante	b.JOH.10.1
Maican runa pungullara icusha, pai borregora cierto cuirajmi.	Pero el que entra por la puerta es el pastor de las ovejas	b.JOH.10.2
Pungura cuiraj runa paihuajta pascan; borregouna paihua shimira uyanaun	A él le abre el portero, y las ovejas oyen su voz	b.JOH.10.3
Paiga borregounara shutii cayan, paigunara llucchin.	A sus ovejas las llama por nombre y las conduce afuera	b.JOH.10.3
Randi, borregouna shu mana ricsishca runara mana catinaungachu, astaun paimanda miticunaunga, shujguna shimira mana ricsishcamanda.	Pero al extraño jamás seguirán; más bien, huirán de él, porque no conocen la voz de los extraños.	b.JOH.10.5
Shinasha Jesús cuti rimaca: Cierto pacha cangunara nini, Ñuca borregouna pungu mani.	Entonces Jesús les habló de nuevo: "De cierto, de cierto os digo que yo soy la puerta de las ovejas	b.JOH.10.7
Ñuca pungu mani	Yo soy la puerta	b.JOH.10.9
Maican ñucahua icusha quishpi tucungami; icunga, llucshinga, micuna quihuara taringami.	Si alguien entra por mí, será salvo; entrará, saldrá y hallará pastos	b.JOH.10.9
Shuhuaj apingajlla, huañuchingajlla, huajlichingajlla shamun	El ladrón no viene sino para robar, matar y destruir	b.JOH.10.10
Randi ñuca shamucani borregouna causaira charinauchuj causaira charishaga talirijta charinauchu.	Yo he venido para que tengan vida, y para que la tengan en abundancia	b.JOH.10.10
Pai miticusha rin, pagashca runa ashcamanda; borregounara mana llaquin, mana cuiran.	Huye porque es asalariado, y a él no le importan las ovejas	b.JOH.10.13
Ñuca borregora ali cuiraj ani; borreogunara ricsini; ñuca borregouna ñucara ricsihuanaun, imasna Yaya ñucara rícsishcasna, shinallara ñucas Yayara ricsishcasna.	Yo soy el buen pastor y conozco mis ovejas, y las mías me conocen	b.JOH.10.14
Borregouna randimanda ñuca causaira cuni.	Como el Padre me conoce, yo también conozco al Padre; y pongo mi vida por las ovejas	b.JOH.10.15
Chiraigumanda Yaya llaquihuanmi, ñuca causaira cushcamanda, cuti causaira apingaj.	Por esto me ama el Padre, porque yo pongo mi vida, para volverla a tomar	b.JOH.10.17
Ñuca causairaga pihuas ñucamanda mana quichun, ñucallara cuni	Nadie me la quita, sino que yo la pongo de mí mismo	b.JOH.10.18
Cungaj ushaira charinimi, cuti apiñaras ushanimi	Tengo poder para ponerla, y tengo poder para volverla a tomar	b.JOH.10.18
Cai mandashca shimira Yayamanda apicani.	Este mandamiento recibí de mi Padre.	b.JOH.10.18
Cutillara judiogunapura Jesús rimashcamanda piñanausha rimananauca.	Hubo división otra vez entre los judíos a causa de estas palabras	b.JOH.10.19
Shujgunaga: Cai shimiuna mana supaiyujmandachu, ninauca	Otros decían:  Estas palabras no son las de un endemoniado	b.JOH.10.21
¿Supaiga ñausa runa ñahuira pascanara ushanzhu?	¿Podrá un demonio abrir los ojos de los ciegos	b.JOH.10.21
Jerusalembi, templo huasira Diosma cushcara iyarina ista pactamuca	Se celebraba entonces la fiesta de la Dedicación en Jerusalén	b.JOH.10.22
Tamia horas aca.	Era invierno	b.JOH.10.22
Jesús templo huasii puriuca, Salomomba pungüi.	y Jesús andaba en el templo por el pórtico de Salomón	b.JOH.10.23
Jesús cutipaca: Rimashcani, astaun canguna mana quiricanguichi	Jesús les contestó:  Os lo he dicho, y no creéis	b.JOH.10.25
Ñuca Yaya shutii rashcauna ñucamanda rimanaun.	Las obras que yo hago en nombre de mi Padre, éstas dan testimonio de mí	b.JOH.10.25
Cangunaga mana quiringuichi, mana ñuca borregounamanda asha, ñuca cangunara rimashcasna.	Pero vosotros no creéis, porque no sois de mis ovejas	b.JOH.10.26
Ñucahua Yayahua shujlla manchi.	Yo y el Padre una cosa somos	b.JOH.10.30
Shinajpi judioguna rumiunara cuti apinauca paita shitangaj.	Los judíos volvieron a tomar piedras para apedrearle	b.JOH.10.31
Jesús paigunara cutipaca: Ashca ali rashcaunara cangunara ricuchishcani ñuca Yayamanda	Jesús les respondió:  Muchas buenas obras os he mostrado de parte del Padre	b.JOH.10.32
¿Maicanmanda ñucara rumihua shitasha ninguichi?	¿Por cuál de estas obras me apedreáis	b.JOH.10.32
Judioguna cutipanauca: Mana ima alira rashcamandas rumihua shitanchi, astaun can Diosta camishcamanda, can runa ashallara Dios tucusha nishcamanda, ninauca.	Los judíos le respondieron:  No te apedreamos por obra buena, sino por blasfemia y porque tú, siendo hombre, te haces Dios	b.JOH.10.33
Jesús cutipaca: ¿Manzhu canguna ley shimii quillcashca tian, Nicani diosguna anguichi?	Jesús les respondió:  ¿No está escrito en vuestra ley, "Yo dije: Sois dioses"	b.JOH.10.34
Diospa shimira chasquijgunara 'diosguna' shutichishcajpiga, shinashas Diospa shimi mana paquirinallachu,	Si dijo "dioses" a aquellos a quienes fue dirigida la palabra de Dios (y la Escritura no puede ser anulada)	b.JOH.10.35
¿Yaya Dios chicanyachishca runara, cai pachama cachamushcara: Camishcangui, ninguichi, pai Diospa Churi ani nishcamanda?	¿decís vosotros: "Tú blasfemas" a quien el Padre santificó y envió al mundo, porque dije: "Soy Hijo de Dios"	b.JOH.10.36
Ñucaga Yayamanda rashcaunara mana rajpiga, ama quirihuaichichu.	Si no hago las obras de mi Padre, no me creáis	b.JOH.10.37
Randi, ñuca casna rashcaunara rajpi, ñucara mana quirisha, rashcaunara quirichi, canguna ricsinauchu, quirinauchu Yaya ñucajpi tiashcara ñucas paihuajpi tiashcaras.	Pero si las hago, aunque a mí no me creáis, creed a las obras; para que conozcáis y creáis que el Padre está en mí, y yo en el Padre	b.JOH.10.38
Ashca runauna chihui Jesuspi quirinauca.	Y muchos creyeron en él allí	b.JOH.10.42
Paniuna Jesusma shimira cachanauca: Señor, nisha, can llaquishca runa ungushcami.	Entonces sus hermanas enviaron para decir a Jesús: "Señor, he aquí el que amas está enfermo.	b.JOH.11.3
Jesús caita uyasha: Cai ungüi mana huañuchinachu, nica, astaun Diosta ahuayachingaj, Diospa Churi caimanda ahuayachishca tucungaj.	Al oírlo, Jesús dijo:  Esta enfermedad no es para muerte, sino para la gloria de Dios; para que el Hijo de Dios sea glorificado por ella	b.JOH.11.4
Jesús Martaras paihua ñañaras Lazaroras llaquicami.	Jesús amaba a Marta, a su hermana y a Lázaro	b.JOH.11.5
Jesús Lázaro ungushcara uyasha, pai tiashcai ishqui punzha mas saquiricami.	Cuando oyó, pues, que estaba enfermo, se quedó aún dos días más en el lugar donde estaba	b.JOH.11.6
Shinajpi, caimanda huasha, Jesús pai yachachishca runaunara: Acuíchi, nica, cutillara Judea partima.	y luego, después de esto, dijo a sus discípulos:  Vamos a Judea otra vez	b.JOH.11.7
Jesús cutipaca: ¿Manzhu caran punzha chunga ishqui horasta charin? Maicans punzhara purisha mana nijtangachu, cai pacha punzhara ricusha.	Respondió Jesús:  ¿No tiene el día doce horas? Si uno camina de día, no tropieza, porque ve la luz de este mundo	b.JOH.11.9
Randi, maicans tuta purisha nijtangami, punzha paihuajpi illashcamanda.	Pero si uno camina de noche, tropieza porque no hay luz en él	b.JOH.11.10
Shinajpi yachachishca runauna: Señor, ninauca, pai puñujpi ahyangami.	Entonces dijeron sus discípulos:  Señor, si duerme, se sanará	b.JOH.11.12
Randi, Jesús casna rimasha, Lázaro huañushcara rimacami.	Sin embargo, Jesús había dicho esto de la muerte de Lázaro, pero ellos pensaron que hablaba del reposo del sueño	b.JOH.11.13
Shinajpi Jesús pajllai, Lázaro huañushcami, nica.	Así que, luego Jesús les dijo claramente:  Lázaro ha muerto	b.JOH.11.14
Cangunamanda cushiyauni ñuca chihui illashcamanda, canguna quiringaj	y a causa de vosotros me alegro de que yo no haya estado allá, para que creáis	b.JOH.11.15
Acuichi paihuajma.	Pero vayamos a él	b.JOH.11.15
Shinajpi Tomás, Chapa Huahua nishca, chishu yachachishca runaunama nica: Acuichi ñucanchis, paihua pariju huañungaj.	Entonces Tomás, que se llamaba Dídimo, dijo a sus condiscípulos:  Vamos también nosotros, para que muramos con él	b.JOH.11.16
Betania Jerusalén mayambi tiaca, shu samai purina tupui.	Betania estaba cerca de Jerusalén, como a quince estadios	b.JOH.11.18
Ashca judioguna Martama Mariamas shamunaushca aca paigunara cushiyachingaj, Lázaro huañushcamanda.	y muchos de los judíos habían venido a Marta y a María para consolarlas por su hermano	b.JOH.11.19
Marta Jesusta nica: Señor, can caibi tiaushca ajpiga ñuca turi mana huañunmachu aca.	Marta dijo a Jesús:  Señor, si hubieses estado aquí, mi hermano no habría muerto	b.JOH.11.21
Shinallara cuna ricsinimi imaras can Diosta mañajpi, Dios canda cungami.	Pero ahora también sé que todo lo que pidas a Dios, Dios te lo dará	b.JOH.11.22
Jesús: Camba turi causaringami, nica.	Jesús le dijo:  Tu hermano resucitará	b.JOH.11.23
Jesús cutipasha nica: Ñucaga causarina mani, causais ani	Jesús le dijo:  Yo soy la resurrección y la vida	b.JOH.11.25
Maicans ñucajpi quirisha, huañushca ashallara, causaringami.	El que cree en mí, aunque muera, vivirá	b.JOH.11.25
Tucui causajgunaga ñucajpi quirisha huiñaigama mana huañunaungachu	Y todo aquel que vive y cree en mí no morirá para siempre	b.JOH.11.26
¿Caita quiringuichu can?	¿Crees esto	b.JOH.11.26
Marta cutipaca: Shinai, Señor, nisha, can Cristo nishca Diospa Churi ajta, cai pachama shamujta, quirishcani.	Le dijo:  Sí, Señor; yo he creído que tú eres el Cristo, el Hijo de Dios, el que había de venir al mundo	b.JOH.11.27
Maríaga caita uyasha, uctalla shayarisha paihuajma shamuca.	Ella, cuando lo oyó, se levantó de prisa y fue a donde él estaba	b.JOH.11.29
Jesús chara llactai mana icushcachu aca, astaun Marta paita tupashca pambai chapauca.	pues Jesús todavía no había llegado a la aldea, sino que estaba en el lugar donde Marta le había encontrado	b.JOH.11.30
Shinajpi Maríahua pariju huasii tiaj judioguna, paita cushiyachij shamujguna, pai ucta atarishcara llucshishcaras ricusha, paita catinauca: Aya huasima huacangaj riunmi, nisha.	Entonces, los judíos que estaban en la casa con ella y la consolaban, cuando vieron que María se levantó de prisa y salió, la siguieron, porque pensaban que iba al sepulcro a llorar allí	b.JOH.11.31
Maríaga, Jesús tiashcama shamusha, paita ricusha, paihua chaquii tuama urmasha, paita nica: Señor, can caibi tiaushca ajpi, ñuca turi mana huañunmachu aca.	Luego, cuando María llegó al lugar donde estaba Jesús y le vio, se postró a sus pies diciéndole:  Señor, si hubieras estado aquí, no habría muerto mi hermano	b.JOH.11.32
Shinajpi Jesús María huacashcara shinallara paihua pariju shamuj judioguna huacashcaras ricusha, paihua shungüi yapa llaquirisha turbarica.	Entonces Jesús, al verla llorando y al ver a los judíos que habían venido junto con ella también llorando, se conmovió en espíritu y se turbó	b.JOH.11.33
Jesús nica: Paita ¿maibi pambacanguichi? Señor, ninaun, ricuj shami.	Y dijo:  ¿Dónde le habéis puesto? Le dijeron:  Señor, ven y ve	b.JOH.11.34
Jesús huacacami.	Jesús lloró	b.JOH.11.35
Shinajpi judioguna ninauca: Ricuichi imasna Jesús paita llaquicami.	Entonces dijeron los judíos:  Mirad cómo le amaba	b.JOH.11.36
Paigunamanda huaquinguna ninauca: Cai ñausa ñahuira pascaj ¿manzhu ushanmaca cai runara huañuimanda quishpichingaj?	Pero algunos de ellos dijeron:  ¿No podía éste, que abrió los ojos al ciego, hacer también que Lázaro no muriese	b.JOH.11.37
Jesús: Rumira anzhuchichi, nica	Jesús dijo:  Quitad la piedra	b.JOH.11.39
Martaga, huañu Lázaro pañi, nica: Señor, asnangami; ña chuscu punzha pambashcami.	Marta, la hermana del que había muerto, le dijo:  Señor, hiede ya, porque tiene cuatro días	b.JOH.11.39
Jesusga: ¿Manzhu canda nicani, can quirishallara, Dios sumaj munanaita rashcara ricunguimi?	Jesús le dijo:  ¿No te dije que si crees verás la gloria de Dios	b.JOH.11.40
Caita rimashca huasha, Jesús shinzhira caparisha: Lázaro, nica, pajllama llucshi.	Habiendo dicho esto, llamó a gran voz:  ¡Lázaro, ven fuera	b.JOH.11.43
Shinajpi Mariajma shamuj judiogunamanda ashcauna Jesús rashcara ricusha, paihuajpi quirinauca.	Muchos de los judíos que habían venido a María y habían visto lo que había hecho Jesús, creyeron en él	b.JOH.11.45
Randi, huaquinguna faríseogunama rinauca Jesús rashcara paigunara cuentangaj.	Pero algunos de ellos fueron a los fariseos y les dijeron lo que Jesús había hecho	b.JOH.11.46
Shinajpi sacerdote apuuna fariseogunandi pariju tandarimusha ninauca: ¿Imara rashun? Cai runa munanaita ricurinaunara ashcara raun.	Entonces los principales sacerdotes y los fariseos reunieron al Sanedrín y decían:  ¿Qué hacemos? Pues este hombre hace muchas señales	b.JOH.11.47
Caifas, apuunamanda shuj, chi huatai sacerdoteuna atun apu asha, paigunara nica: Mana imaras yachanguichi;	Entonces uno de ellos, Caifás, que era sumo sacerdote en aquel año, les dijo:  Vosotros no sabéis nada	b.JOH.11.49
shinallara mana iyanguichi imasnara ali tucunga shu runa ñucanchi entero aillu randimanda huañungaj, tucui runauna ama chingaringaj.	ni consideráis que os conviene que un solo hombre muera por el pueblo, y no que perezca toda la nación	b.JOH.11.50
Caitaga mana pai quiquinmandalla rimaca, astaun pai chi huatai sacerdote atun apu asha, Diosmanda rimasha, Jesús entero aillu randimanda huañunami anga, nica.	Pero esto no lo dijo de sí mismo; sino que, como era el sumo sacerdote de aquel año, profetizó que Jesús había de morir por la nación	b.JOH.11.51
Shinallara mana chi llacta aillumandalla huañuchu, astaun tucui Diospa chausirishca churiunara shujllai tandachingaj.	y no solamente por la nación, sino también para reunir en uno a los hijos de Dios que estaban esparcidos	b.JOH.11.52
Shinasha, chi punzhamanda, paigunapura Jesusta huañuchingaj iyanaucami.	Así que, desde aquel día resolvieron matarle	b.JOH.11.53
Sacerdote apuuna fariseogunandi mandanauca: Maicans Jesús tiashcara yachasha rimanauchu, Jesusta apingaj, nisha.	Los principales sacerdotes y los fariseos habían dado órdenes de que si alguno supiese dónde estaba, lo informara para que le tomaran preso	b.JOH.11.57
Pascua istamanda socta punzha ñaupa, Jesús Betaniama shamuca, huañuj Lázaro llactama, pai huañushcaunamanda causachishca.	Seis días antes de la Pascua, llegó Jesús a Betania, donde estaba Lázaro, a quien Jesús resucitó de entre los muertos	b.JOH.12.1
Judas Iscariote, Simomba churi, shu Jesús yachachishca runa, paita entregangarau, rimaca:	Pero uno de sus discípulos, Judas Iscariote, el que estaba por entregarle, dijo	b.JOH.12.4
Casna rimaca, mana tsuntsuunara llaquishcamanda, astaun yachachishca runauna cullqui bolsara charisha, shuhuaj asha, chimanda cullquira apij aca.	Pero dijo esto, no porque le importaban los pobres, sino porque era ladrón, y teniendo la bolsa a su cargo sustraía de lo que se echaba en ella	b.JOH.12.6
Tsuntsuuna tucui horas tianaunga, randi ñuca mana tucui horas cangunahua tiashachu.	Porque a los pobres siempre los tenéis con vosotros, pero a mí, no siempre me tendréis	b.JOH.12.8
Sacerdote apuuna paigunapura rimananauca Lazarora huañuchingaj nisha.	Pero los principales sacerdotes resolvieron matar también a Lázaro	b.JOH.12.10
Pai causarishcaraigumanda ashca judioguna anzhurinauca, Jesuspi quirinauca.	porque por causa de él muchos de los judíos se apartaban y creían en Jesús	b.JOH.12.11
Cayandi punzha, ashca runauna istama shamujguna, Jesús Jerusalenma shamungaraushcara uyasha,	Al día siguiente, cuando oyeron que Jesús venía a Jerusalén, la gran multitud que había venido a la fiest	b.JOH.12.12
Jesús shu malta burrora tupasha, paihua ahuai tiaríca, cai Quillcashcasna:	Habiendo encontrado Jesús un borriquillo, montó sobre él, como está escrito	b.JOH.12.14
Ñaupa punda cai tucuira mana ali intindinaucachu pai yachachishca runauna	Sus discípulos no entendieron estas cosas al principio	b.JOH.12.16
Astaun Jesusta sumacyachishca huasha, cai tucuira paimanda quillcashca ajta iyarinauca, shinallara quillcashcasna runauna paita cai tucuira ranauca.	Pero cuando Jesús fue glorificado, entonces se acordaron de que estas cosas estaban escritas acerca de él, y que estas cosas le hicieron a él	b.JOH.12.16
Jesushua pariju tiajguna Lazarora aya huasimanda cayaushcai, huañushcamanda causarishcais, pai rashcara cuentanauca.	La gente que estaba con él daba testimonio de cuando llamó a Lázaro del sepulcro y le resucitó de entre los muertos	b.JOH.12.17
Chimandas runauna paita tupangaj shamunauca, Jesús chi munanaita ricurinara uyashcamanda.	Por esto también la multitud salió a recibirle, porque oyeron que él había hecho esta señal	b.JOH.12.18
Astaun fariseoguna paigunapura ninauca: ¡Ricupaichi imasnara mana imaras ushanguichi	Entonces los fariseos dijeron entre sí:  Ved que nada ganáis	b.JOH.12.19
Entero mundu paita catinaun!	¡He aquí, el mundo se va tras él	b.JOH.12.19
Istama Diosta alabangaj shamujgunahua huaquin griego runauna tianauca.	Había ciertos griegos entre los que habían subido a adorar en la fiesta	b.JOH.12.20
Felipe caita Andresta cuentaca	Felipe fue y se lo dijo a Andrés	b.JOH.12.22
Shinajpi Andrés Felipendi Jesusta cuentanauca.	Andrés y Felipe se lo dijeron a Jesús	b.JOH.12.22
