PERÚ SUYU HATUN KAMAY PIRWA	CONSTITUCIÓN POLÍTICA DEL PERÚ
Ichaqa Chay Decretos Legislativos nisqa kamachikunaqa qelqasqa, mast’arisqa hinaspa hunt’asqa kanankupaqpas kikin wakin kamachikunaman hina	Los decretos legislativos están sometidos, en cuanto a su promulgación, publicación, vigencia y efectos, a las mismas normas que rigen para la ley
Suyu kamachiqmi Rimana Wasiman utaq chay wasipi pasaq huch’uy huñunasqa apullikunaman llapa kamachikuna ruwasqanta willay	El Presidente de la República da cuenta al Congreso o a la Comisión Permanente de cada decreto legislativo
Manaraq kamachikunamanta	Proyectos de ley
Manan Ima manaraq Karachi qelqa ruwasqakunata pipas atinchu rikuyta manaraq huch’uy huñunakuypi kamaq apullikuna rikuyninku kaqtin; ichaqa atikunman Rimana Wasiq ukhunpi kamachiyninman hina	Ningún proyecto de ley puede sancionarse sin haber sido previamente aprobado por la respectiva Comisión dictaminadora, salvo excepción señalada en el Reglamento del Congreso
Astawan osqaytan Rimana Wasi qhawanan Hatun Kamayoq Manaraq kamachikuna apachisqanta	Tienen preferencia del Congreso los proyectos enviados por el Poder Ejecutivo con carácter de urgencia
Orgánicas nisqa kamachikuna	Leyes Orgánicas
Llapa suyupi llaqta kamachisqa llank’ana wasinkunan ukhunpi kamachiyninkuman hinan llank’ananku ichaqa Hatun Kamay Pirwaman Hinapunin. Chaymantapas hukaq kamachikunamanta ichaqa kikin Ley orgánica nisqa Hatun Kamay Pirwapi nisqanman hinallapuni	Mediante leyes orgánicas se regulan la estructura y el funcionamiento de las entidades del Estado previstas en la Constitución, así como también las otras materias cuya regulación por ley orgánica está establecida en la Constitución
Proyectos de ley orgánica nisqa kamachikunaqa kikin wakin manaraq kamachikunata hina rikukun, hinaspa apullisqa kanankupaqmi kanan yupaspa kuskan hoq yapasqa apullikunaq munayninpi	Los proyectos de ley orgánica se tramitan como cualquiera otra ley, para su aprobación o modificación, se requiere el voto de más de la mitad del número legal de miembros del Congreso
Kamachiykuna rikhuriyninpaq, willakunanpaq	De la formación y promulgación de las leyes
Manaraq kamachi kamariypaq	Iniciativa Legislativa
Suyu Hatun kamachiq hinaspa Rimana Wasipi apullikunaq allaukanmi qelqa kamachi kamarinanku	El Presidente de la República y los Congresistas tienen derecho a iniciativa en la formación de leyes
Wakin hatun kamachiqkunaq allaukan kallantaqmi yachayninman hina ima kamachiytapas haymananpaq, chaypin kanku instituciones públicas, Gobiernos Regionales, Gobiernos locales hinaspapas Colegios Profesionales nisqakuna	También tienen el mismo derecho en las materias que les son propias los otros poderes del Estado, las instituciones públicas autónomas, los Gobiernos Regionales, los Gobiernos Locales y los colegios profesionales
Chaymantapas kallantaqmi sapanchasqa runa allaukanmi kamachiyman kamachiy kamakunanpaq	Asimismo lo tienen los ciudadanos que ejercen el derecho de iniciativa conforme a ley
Kamachikuna Qokunanmanta	Promulgación de las Leyes
Kamachi chaskisqa Hatun Kamay Pirwaman hinaqa, apachikun suyu kamachiqman chunka pisqayoq p’unchaypi pay kikin kamachiyta qonanpaq	La ley aprobada según lo previsto por la Constitución, se envía al Presidente de la República para su promulgación dentro de un plazo de quince días
Sichus suyu kamachiq mana qonmanchu chay kamachita cheyqa, Rimana Wasipa kamachiqninmi utaq pasaq huch’uy huñunasqa apullikuna qonku chay kamachitaqa	En caso de no promulgación por el Presidente de la República, la promulga el Presidente del Congreso, o el de la Comisión Permanente, según corresponda
Sichus Suyu kamachiq ima qhawaytapas rikun chay Rimana Wasipi Kamachi qosqankuta cheyqa apachinmi chay mana allin rikusqanta Rimana Wasiman chunka pisqayoq p’unchay ukhupi yapamanta kamachiy qelqasqanta ruwananpaq	Si el Presidente de la República tiene observaciones que hacer sobre el todo o una parte de la ley aprobada en el Congreso, las presenta a éste en el mencionado término de quince días
Rimana Wasi yapamanta kamachiy ruwayninta, kinkin kamachiqnin qelqaspa qon chay kamachiyta ichaqa yupaspa kuskan hoq yapasqa apullikunaq munayninpi	Reconsiderada la ley por el Congreso, su Presidente la promulga, con el voto de más de la mitad del número legal de miembros del Congreso
Kikin kamachi kayninpi hunt’asqa kananpaq ima	Vigencia y obligatoriedad de la Ley
Llapa runaq hunt’ananpaqmi kamachiy qosqaqa, ichaqa hunt’akunanmi mast’arisqa kasqanmanta pacha, ichaqa atinkun hoq neray hunt’akunanpaq qelqa rimaypas chaymanta hunt’akunanpaqpas	La ley es obligatoria desde el día siguiente de su publicación en el diario oficial, salvo disposición contraria de la misma ley que posterga su vigencia en todo o en parte
Kamachi hunt’achiq Kallpanmanta	Poder Ejecutivo
Suyu umalliq	El Presidente de la República
Suyu umalliq hinaspa paymi suyuq uyan	El Presidente de la República es el Jefe del Estado y personifica a la Nación
Suyu kamachiq kanapaqqa Perú suyupin paqarisqa kama, kinsa chunka pisqayoq wata kausayniyoq kanan hinaspa ajllay atiymi kanan	Para ser elegido Presidente de la República se requiere ser peruano por nacimiento, tener más de treinta y cinco años de edad al momento de la postulación y gozar del derecho de sufragio
Suyu Hatun Kamachiq ajllay	Elección del Presidente de la República
Suyu kamachiqqa suyu runaq ajllasqanmi	El Presidente de la República se elige por sufragio directo
Suyupi llapan ajllaq kuskallanpas ajllananmi ichaqa ajllaypaq mana wijch’usqa utaq yuraq qelqa manan yupakun chu	Es elegido el candidato que obtiene más de la mitad de los votos, los votos viciados o en blanco no se computan
Sichus ajllayman haykuqkuna manan yaqa llapan runaq ajllayta orqonkumanchu cheyqa, yapamanta wajakunan hoq ajllayman ichaqa kinsa chunka p’unchaq ajllay willay mast’arisqamanta pacha ichaqa iskay runallan qhepanan chay yapamanta ajllaypaqqa	Si ninguno de los candidatos obtiene la mayoría absoluta, se procede a una segunda elección, dentro de los treinta días siguientes a la proclamación de los cómputos oficiales, entre los candidatos que han obtenido las dos más altas mayorías relativas
Suyu kamachiq kuskawanmi, ajllasqallaqtaqmi suyu kamachiqpa vicepresidentes nisqa iskay Umalliq qatiqninkuna	Junto con el Presidente de la República son elegidos, de la misma manera, con los mismos requisitos y por igual término, dos vicepresidentes
Suyu Umalliq Llank’ayninmanta	Duración del mandato presidencial
Suyu kamachiqqa pisqa watapaqmi ajllasqa, ichataqmi manan qatiq watakunapaq yapamanta ajllachikunmanchu	El mandato presidencial es de cinco años, no hay reelección inmediata
Hinaspa atintaqmi yapamanta ajllayman churakuyta qhepa kausay hamuqta imayna ajllasqa kananpaq mañakuykunata hunt’aqtin	Transcurrido otro período constitucional, como mínimo, el ex presidente puede volver a postular, sujeto a las mismas condiciones
Suyu Umalliq manaña kamachiq qasisqa kananmanta	Vacancia de la Presidencia de la República
Suyu kakachiqmi qasin	La Presidencia de la República vaca por
Suyu Kamachiq wañuqtin	Muerte del Presidente de la República
Pasaq sumaq Kausay sarunchasqan utaq mana qhali kaqtin, ichaqa Rimana Wasiq kamachisqan	Su permanente incapacidad moral o física, declarada por el Congreso
Rimana wasiq wasq’eyninta chaskiqtin	Aceptación de su renuncia por el Congreso
Rimana Wasita mana kasuspa hawa llaqtakunaman puriynin hucha utaq mana osqay kutimusqanmanpi	Salir del territorio nacional sin permiso del Congreso o no regresar a él dentro del plazo fijado
Wijch’usqa, Hatun Kamay Pirwa mana kasusqan rayku ichaqa 117 ñeqe kamachisqanman hina	Destitución, tras haber sido sancionado por alguna de las infracciones mencionadas en el artículo 117 de la Constitución
Suyu Umalliq kamachiq tatisqa kananmanta	Suspensión del ejercicio de la Presidencia
Suyu Umalliq kamachiq llank’ayninmi tatin	El ejercicio de la Presidencia de la República se suspende por
Suyu Umalliq chikan mana ruway atiq kayninpi ichaqa Rimana Wasin chaytaqa kamachinan utaq paqtay Wasipi huchallisqa kaqtin, ichaqa 117 ñeqe Hatun Kamay Pirwa kaman hina	Incapacidad temporal del Presidente, declarada por el Congreso, o hallarse éste sometido a proceso judicial, conforme al artículo 117 de la Constitución
Suyu Apulli tatiyninmanta utaq pasaqpaq qasinanpaq	Impedimento temporal o permanente del ejercicio de la Presidencia
Suyu kamachiq sichus hawa llaqtaman rimananpaqqa Riman Wasiq kamachisqanmi kanan, chay puriypin qatiqnin churakun suyu kamachiypi	Cuando el Presidente de la República sale del territorio nacional, el Primer Vicepresidente se encarga del despacho
Hinaspa qatillantaqmi iskay ñeqe qatiqninpas	En su defecto, lo hace el Segundo Vicepresidente
Suyu Apulli Kamachiypaq haykuyninmanta	Asunción del cargo presidencial
Rima Wasipin antasitwa killapi, iskay chunka pusaqniyoq p’unchaypi Suyu Kamachiq apu kamaq sutinta oqarin llak’aynin qallariynanpaq	El Presidente de la República presta juramento de ley y asume el cargo, ante el Congreso, el 28 de julio del año en que se realiza la elección
Suyu Apulli Kamachiq as Ruwayninkuna rayku huchallisqa kananmanta	Excepción a la inmunidad presidencial
Suyu kamachiqqa atinmi huchallisqa kayta, suyuta auqasqa; suyu kakachiqpaq, apullikunapaq, llaqta kamaqoq ajllayta tatichisqan rayku, utaq Rimana Wasiq llank’ayninta qolluchisqa rayku, ichaqa chay ruwayta atillanmantaqmi Hatun Kamay Pirwapi 134 ñeqe kamachisqanman hina, hinallataq huñunakuyninkuta qolluchiqtin utaq tatichiyta munaqtinpas, hinaspa hinallataqmi Hatun Ajllanapaq Wasita ruwaqtinpas	El Presidente de la República sólo puede ser acusado, durante su período, por traición a la Patria; por impedir las elecciones presidenciales, parlamentarias, regionales o municipales; por disolver el Congreso, salvo en los casos previstos en el artículo 134 de la Constitución, y por impedir su reunión o funcionamiento, o los del Jurado Nacional de Elecciones y otros organismos del sistema electoral
Suyu Apulli Kamachiq Ruwayninkunamanta	Atribuciones del Presidente de la República
Suyu Kamachiqpa ruwayninmi	Corresponde al Presidente de la República
Hatun Kamay Pirwata, apusimikunata, kamachikunata hinaspa ima qelqakuna kachakusqankunatapas hunt’ay hinaspa hunt’achiy	Cumplir y hacer cumplir la Constitución y los tratados, leyes y demás disposiciones legales
Hawa llaqtakunapi Suyuta hinaspa llaqta ukhupipas suyu rantinta sayanan	Representar al Estado, dentro y fuera de la República
Suyu kausayninta umalliy	Dirigir la política general del Gobierno
Suyuq ukhunpi hinallataq hawa llaqtakunapi allin kausayninta qhaway, hawa llaqtakunaq ñaupapi suyunchis hunt’asqa hap’inankupaq	Velar por el orden interno y la seguridad exterior de la República
Ch’ijllukuykunaman wajaynin: suyu kamachiq ajllaypaq, apullikuna ajllanapaqpas, warayoqkuna hinaspapas warayoq yanapaqninkunata wakin kamayoqkunatapas ichaqa kamachiman hina ajllayninpaq	Convocar a elecciones para Presidente de la República y para representantes a Congreso, así como para alcaldes y regidores y demás funcionarios que señala la ley
Rimana Wasipi apullikunata mayninpi huñunakuypaq wajanata qelqaspa	Convocar al Congreso a legislatura extraordinaria; y firmar, en ese caso, el decreto de convocatoria
Rimana Wasiman ima pacha anyakuypas may kausaypipas pay kikin rimaspa, qelqaspa ima, ñaupaq ñeqe wata kamachikuna qallarihsiaqtin willay	Dirigir mensajes al Congreso en cualquier época y obligatoriamente, en forma personal y por escrito, al instalarse la primera legislatura ordinaria anual
Lliu umallikuna willasqanqa watantinpi suyu kausayninmanta hinallataq umalliyninta hunt’askusqanmantan, imakuna t’ijraymantapas suyunchis allin kausayninpaq, Rimana Wasi yachananpaq churay	Los mensajes anuales contienen la exposición detallada de la situación de la República y las mejoras y reformas que el Presidente juzgue necesarias y convenientes para su consideración por el Congreso
Suyu kamachiqpa willakuyninqa ichaqa hoq ñeqellan Hatun Kamayoqninkunan chaskinanan	Los mensajes del Presidente de la República, salvo el primero de ellos, son aprobados por el Consejo de Ministros
Suyu kamachiqpa willakuyninqa ichaqa hoq ñeqellan Hatun Kamayoqninkunan chaskinanan	Los mensajes del Presidente de la República, salvo el primero de ellos, son aprobados por el Consejo de Ministros
Hunt’anan hinaspa hunt’achinanpaq paqtay wasiq hayratankunata, kamachiyninkunata hunt’achiytapas	Cumplir y hacer cumplir las sentencias y resoluciones de los órganos jurisdiccionales
Hunt’anan hinaspa hunt’achinanpaq Suyu Ch’ijllukuy Wasi kamachisqanta	Cumplir y hacer cumplir las resoluciones del Jurado Nacional de Elecciones
Hawapi llaqtakunaman rimayninchiskunata purichiypas hinaspa allin kausayninchispaq rimay qelqakuna ruwaspanpas	Dirigir la política exterior y las relaciones internacionales; y celebrar y ratificar tratados
Hawa llaqtakunapi rantiqninchiskunata, ichaqa Hatun Hach’awanqo Kamayuqkuna huñiyninwan, Rimana Wasiman willaspa	Nombrar embajadores y ministros plenipotenciarios, con aprobación del Consejo de Ministros, con cargo de dar cuenta al Congreso
Hawa llaqtakunaq rantinta sayaq mitmakunata chaskiy hinallataq cónsules nisqakunata llank’ayninku hunt’aypi	Recibir a los agentes diplomáticos extranjeros, y autorizar a los cónsules el ejercicio de sus funciones
Umalliy Suyuqpa amachaqenta; wallakuna kamachiytapas, rakiytapas hinallataq auqanakunayoq kallpakuna, llaqta t’uqriy kamayoqkuna kachakuytapas	Presidir el Sistema de Defensa Nacional; y organizar, distribuir y disponer el empleo de las Fuerzas Armadas y de la Policía Nacional
Ima llaqtakuna suyunchista kamaykuqtinpas, amachakuypas, mana rakisqa nitaq t’aqasqapas kananpaq hinaspa thaq kausaynita maskhay suyuq munayniyoq kausayninta	Adoptar las medidas necesarias para la defensa de la República, de la integridad del territorio y de la soberanía del Estado
Rimana Wasiq munanyninman, maqanakuyman haykuy, hinallataq thak kay qelqaypas	Declarar la guerra y firmar la paz, con autorización del Congreso
Llaqtaq kaynin rikuy	Administrar la hacienda pública
Qolqe mañakuykunapaq rimaynin	Negociar los empréstitos
Osqay apu kamachikuna qoyta, phaku huch’uy hunt’anakuna kikin kamachi kallpawan kayninpi, musikuy hinaspa qolqewan llank’aymanta, sichus suyuq yuyayninpi kanman ichaqa Rimana Wasiman yachananpaq willaspa	Dictar medidas extraordinarias, mediante decretos de urgencia con fuerza de ley, en materia económica y financiera, cuando así lo requiere el interés nacional y con cargo de dar cuenta al Congreso
Rimana Wasi atintaqmi chay huch’uy kamachikunata hoqneray ruwayta utaq qolluchiyta	El Congreso puede modificar o derogar los referidos decretos de urgencia
Kamachisqa chanin chaninchayta	Regular las tarifas arancelarias
Huchayoqkunata panpachay, ñaupaqchana aullaukata huchallisqakunapaq ruway ichaqa wapasqawan hucha t’aqwiy ñishu iskaychasqa kaqtin	Conceder indultos y conmutar penas, ejercer el derecho de gracia en beneficio de los procesados en los casos en que la etapa de instrucción haya excedido el doble de su plazo más su ampliatoria
Suyuq sutinpi sumay qoyta, ichaqa Apusimi Kamayoqkuna munayninpi	Conferir condecoraciones en nombre de la Nación, con acuerdo del Consejo de Ministros
Perú Suyu runankunata, hoq hawa suyukunapi walla kananpaq apullichiy, hinaspa hatun Kamay Pirwaqpa hoq apusimikunapaqpas kamachikusqanman hina kamachikuq kaynintapas, kaysayninpaq hunt’ay	Autorizar a los peruanos para servir en un ejército extranjero, y ejercer las demás funciones de gobierno y administración que la Constitución y las leyes le encomiendan
Hach’awanqo Kunawamanta	Del Consejo de Ministros
Dirección y gestión de los servicios públicos nisqakunamanta	Dirección y gestión de los servicios públicos
Chay Dirección y la gestión de los servicios públicos nisqa Suyuq kausaynin hinaspa llaqtapaq llank’ay purinchachiyqa Hach’awanqo Kunawaq makinpin, hinaspa ruwayninman hina sapanka hach’awanqoq makinpi	La dirección y la gestión de los servicios públicos están confiadas al Consejo de Ministros; y a cada ministro en los asuntos que competen a la cartera a su cargo
Hach’awanqo suti qelqa	Refrendación Ministerial
Suyu Kamachiq ruwayninqa qollun sichus Hach’awanqo munayninpi suti qelqanwan	Son nulos los actos del Presidente de la República que carecen de refrendación ministerial
Hach’awanqo Kunawaqa Umalliq	Consejo de Ministros
Hach’awanqo Kunawa kanku, Hach’awanqokuna huñunakuyninmi, apusimi qelqan t’oqsin imayna kanankutapas, imakuna ruwayninkunatapas	Los ministros, reunidos, forman el Consejo de Ministros, La ley determina su organización y funciones
Hach’awanqo Kunawaqa Umalliqniyuqmi kanan	El Consejo de Ministros tiene su Presidente
Suyu Kamachiqmi Umallin sichus pay rin huñunakuyninkuman cheyqa	Corresponde al Presidente de la República presidir el Consejo de Ministros cuando lo convoca o cuando asiste a sus sesiones
Consejo de Ministros nisqa Kamayoqnin hinaspa hoq Hach’awanqokuna ima churasqa utaq horqosqa kanankumanta	Nombramiento y remoción del Presidente del Consejo de Ministros y demás Ministros
Suyu Kamachiqmi ajllaspa kamachanpas mit’anpas hach’awanqo kamaiqtaqa hokaq hach’awanqokunatapas, Hach’awanqo kamachiqta mañayninta uyaspa	El Presidente de la República nombra y remueve al Presidente del Consejo, nombra y remueve a los demás ministros, a propuesta y con acuerdo, respectivamente, del Presidente del Consejo
Ministros	Atribuciones del Presidente del Consejo de Ministros y demás
hach’awanqokunan ruwayninkumanta	Suyupi Hach’awanqokuna umalliqninpa hinaspa kikin
Hach’awanqo kamachiqmi atin mana hach’awanqo kayta hinaspa ruwayninmi	Al Presidente del Consejo de Ministros, quien puede ser ministro sin cartera, le corresponde
Kay, Suyu Kamachiq quepa, suyuq rimaynin willaq ichaqa suyuq kamachisqan	Ser, después del Presidente de la República, el portavoz autorizado del gobierno
Hokaq Hach’awanqoqkunaq llank’ayninta rikuy	Coordinar las funciones de los demás ministros
Huch’uy kamachikuna, osqay ruwaykunata hinaspa Hatun Kamay Pirwaman hina hokaq kamachiykunata kayninpaq suti qelqanta churay	Refrendar los decretos legislativos, los decretos de urgencia y los demás decretos y resoluciones que señalan la Constitución y la ley
Suyu Hach’awanqo kaypaq hunt’aykuna	Requisitos para ser Ministro de Estado
Hach’awanqo kananpaqqa, Perú suyupi paqariqmi kana, iskay chunka hunt’asqa wata kausayniyoq	Para ser Ministro de Estado, se requiere ser peruano por nacimiento, ciudadano en ejercicio y haber cumplido veinticinco años de edad
Auqanakunayoq kallpakunaq runan hinaspa t’uqriy kakayoq runankunapas atinkun Hach’awanqo kayta	Los miembros de las Fuerzas Armadas y de la Policía Nacional pueden ser ministros
Hach’awanqoq ruwanankunan	Atribuciones del Consejo de Ministros
Hach’awanqoq ruwanankunan	Son atribuciones del Consejo de Ministros
Suyu Kamachiq, Rimana Wasiq makinman manaraq apusimi kamachi churasqan huñichay	Aprobar los proyectos de ley que el Presidente de la República somete al Congreso
Suyu kamachiq, huch’uy kamachikuna qosqan huñichay	Aprobar los decretos legislativos y los decretos de urgencia que dicta el Presidente de la República, así como los proyectos de ley y los decretos y resoluciones que dispone la ley
Imapas llaqta runaq allinninpaq kaq kamachinakuy	Deliberar sobre asuntos de interés público
Hatun Kamay Pirwa, apusimiq ima, kamachisqankuna hunt’ay	Y Las demás que le otorgan la Constitución y la ley
Hach’awanqoq kamachinakusqanqa munayninkuta willaypaq	Acuerdos del Consejo de Ministros
Imapas Hach’awanqoq kamachinakusqanqa yaqa llapankuq allinchasqamni kanan, qelqa rimaykunapitaqmi qelqasqa kanan	Todo acuerdo del Consejo de Ministros requiere el voto aprobatorio de la mayoría de sus miembros, y consta en acta
Hach’awanqokunaqa manan ruwayta atinchu llaqta kamachiypi hoq neray llank’ayta, ichaqa kamachi ruwayllapi	Los ministros no pueden ejercer otra función pública, excepto la legislativa
Hach’awanqokuna manan atinkuchu kikinkupaq utaqhuq wakin runakunapaqpas qolqeta masqaspa llank’ayta, hinaspa manallataqmi atikunchu sapanchasqa huñunakuykunapi llank’aytapas	Los ministros no pueden ser gestores de intereses propios o de terceros ni ejercer actividad lucrativa, ni intervenir en la dirección o gestión de empresas ni asociaciones privadas
Hach’awanqo llank’ay chaskiymanta	Encargo de la Función Ministerial
Manan chaykamalla kamachasqa Hach’awanqokunaqa kanakumanchu	No hay ministros interinos
Ichaqa Suyu Kamachiqmi mayqen hach’awanqotapas kamachinmanmi hoq kamachikuna hunt’ananpaq, chaypas ruwayninta waqaychapuspa, ichaqa kinsa chunka p’unchaylla, Hach’awanqo wasin ukhullapi	El Presidente de la República puede encomendar a un ministro que, con retención de su cartera, se encargue de otra por impedimento del que la sirve, sin que este encargo pueda prolongarse por más de treinta días ni trasmitirse a otros ministros
Hach’awanqokuna hunt’ayninmantapuni	Responsabilidad de los Ministros
Llapan Hach’awanqokunan manuchana kanku, Suyu Kamachiqman ima qomalli ruwasqankumantapas	Los ministros son individualmente responsables por sus propios actos y por los actos presidenciales que refrendan
Llapan Hach’awanqokunan Suyu Kamachiq huchan ruwasqamanta utaq Hatun Kamay Pirwa Apusimi Kamachikunaq kasqanmanta utaq  sarunchasqanmanta huchallisqa kankuman, manan qespinkumanchu, mana ajllasqanku raykupaqa, ichaqa qespisqa kankumanmi huchallisqa kanakumantaqa sichus phakulla lloqsipunkuman wach’awanqo llank’aymanta	Todos los ministros son solidariamente responsables por los actos delictivos o violatorios de la Constitución o de las leyes en que incurra el Presidente de la República o que se acuerden en Consejo, aunque salven su voto, a no ser que renuncien inmediatamente
Hatun Rimana Wasiman Hach’awanqokuna puriy	Concurrencia de Ministros al Congreso
Llapan Hach’awanqokunan utaq munaq sapanchasqa hach’awanqon riyta atinku Riman Wasiq huñunakuyninman, hinaspapas seqachinakunaykuypi haykuy hinaspa kikin apullikuna hina rimayta atispa, manan ajllayta atinkuchu sichus mana Rimana Wasiq apullin kaspa	El Consejo de Ministros en pleno o los ministros por separado pueden concurrir a las sesiones del Congreso y participar en sus debates con las mismas prerrogativas que los parlamentarios, salvo la de votar si no son congresistas
Rimana Wasiman riyta atillankun sichus rimanakupaq mink’asqa kaspapas	Concurren también cuando son invitados para informar
Hach’awanqo Kamachiqtaqmi utaq hoq hach’awanqo chayan Rimana Wasiman tapuykuna kutichiq	El Presidente del Consejo o uno, por lo menos, de los ministros concurre periódicamente a las sesiones plenarias del Congreso para la estación de preguntas
Hatun Rimana Wasiwan imayna rimanakuymanta	De las relaciones con el Poder Legislativo
Suyuq ima ruwayninmanta willakuy	Exposición de la Política General del Gobierno
Sinchichakuyta mañakuy	Cuestión de Confianza
Kinsa chunka p’unchay ruwaynin qallarisqanpin, Hach’awanqo Kamachiq Rimana Wasi huñunakuyman rin, wakin Hach’awanqokuna kuska. Chaypin kamachiy musikayninta reqsichikun, hinallataq aswan ñeqe ruwayninnakunatapas. Mañakuntaqmi sinchichakuyta	Dentro de los treinta días de haber asumido sus funciones, el Presidente del Consejo concurre al Congreso, en compañía de los demá ministros, para exponer y debatir la política general del gobierno y las principales medidas que requiere su gestión. Plantea al efecto cuestión de confianza
Sichus Rimana Wasi mana huñunakunchu cheyqa Suyu Kamachiqmi apullikunata wajan sapanchasqa huñunakuyman	Si el Congreso no está reunido, el Presidente de la República convoca a legislatura extraordinaria
Hach’awanqokuna anyasqa kanankumanta	Interpelación a los Ministros
Hach’awanqo Kunawa, utaq mayqen hach’awanqopas rinanmi Rimana Wasiman sichus anyanakuyman wajachisqa kanman chayqa	Es obligatoria la concurrencia del Consejo de Ministros, o de cualquiera de los ministros, cuando el Congreso los llama para interpelarlos
Anyanakuyqa qelqaypin mañakunan, ichaqa pachaq iskay chunka nisqamanta chunka kinsayoq por ciento nisqa apullikunan Rimana Wasiman sayamujkunamanta chay qelqataqa churanank	La interpelación se formula por escrito, debe ser presentada por no menos del quince por ciento del número legal de congresista
Chaskisqa kananpaqtaqmi ajllasqa kanan chay tercio nisqa apullikuna ajllay atiqkuna icvhaqa, ajllayqa ruwakun hamuq huñunakuypipuni	Para su admisión, se requiere el voto del tercio del número de representantes hábiles; la votación se efectúa indefectiblemente en la siguiente sesión
Rimana Wasin ajllakunan, ima p’unchay, ima pacha tapuykuna kutichiy apakunantapas, kayqa manan kanamanchu nitaq ajllakunmanchu kinsa p’unchay qatiqnin p’unchay ukhupi nitaq chunka p’unchay rikusqamanta qhepa	El Congreso señala día y hora para que los ministros contesten la interpelación, esta no puede realizarse ni votarse antes del tercer día de su admisión ni después del décimo
Phiñasqa voto nisqa utaq mana allin llank’asqanmanta t’aqayta munay	Voto de censura o rechazo de la cuestión de confianza
Rimana Wasin llapan Hach’awanqo Kunawata, utaq mayqen sapanchasqa Hach’awanqoq huchanta tarispapas p’enqachin utanq sinchichakuyninta qechukunanpaq ch’ijllunan, sapaqpi sapankanapaq	El Congreso hace efectiva la responsabilidad política del Consejo de Ministros, o de los ministros por separado, mediante el voto de censura o el rechazo de la cuestión de confianza, esta última sólo se plantea por iniciativa ministerial
Hach’awanqo Kunawa hinallataq mayqen sapanchasqa hach’awanqo p’enqachinapaqpas, mañakunankun pachaq nisqamanta iskay chunka pisqayoq nisqa t’aqallanpas, llapan Rimana Wasipi apullikunamanta, chaymantataqmi hina hach’awanqo lloqsinapaqtami chaymanta rimayqa kanan tawa utaq chuka ñeqe p’unchay mañakusqa qhepa	Toda moción de censura contra el Consejo de Ministros, o contra cualquiera de los ministros, debe ser presentada por no menos del veinticinco por ciento del número legal de congresistas, se debate y vota entre el cuarto y el décimo día natural después de su presentación
Chay chaskisqa kanapaqtaqmi kuskan apulli yupa	Su aprobación requiere del voto de más de la mitad del número legal de miembros del Congreso
Hach’awanqo kunawa utaq sapanchasqa hach’awanqo censurado nisqaqa wijch’usqa kaqtin saqenanpuni llank’aynintaqaymanta hoq yapa apullikunaq chaskisqa kanan	El Consejo de Ministros, o el ministro censurado, debe renunciar
Suyu Kamachiqmi wijch’ukuyninta qanchis chunka iskayniyoq horas nisqapin chaskin chay ripusqanta	El Presidente de la República acepta la dimisión dentro de las setenta y dos horas siguientes
Mana allin chaskisqa chay hach’awanqo Wasi ruwaynin kayninqa manan hach’awannqota kamachinchu ripunanpaq, ichaqa sichus cuestión de confianza nisqa kantinqa atinmanmi hach’awaqo kasqanta saqeyta	La desaprobación de una iniciativa ministerial no obliga al ministro a dimitir, salvo que haya hecho cuestión de confianza de la aprobación
Llapan gabinete nisqa ñak’ariypi kaq	Crisis total del gabinete
Hach’awanqo Kunawa kamachiqninmi atin Rimana Wasiman qelqapi mañakuyta Hach’awankokuna sinchichasqa kananpupaq	El Presidente del Consejo de Ministros puede plantear ante el Congreso una cuestión de confianza a nombre del Consejo
Sichus mana chaskisqa kanman cheyqa, p’enqachisqa kanman cheypas utaq ripunanpaq utaq suyu kamachiq kuyuchinman cheyqa, ñak’ariymanmi haykunku	Si la confianza le es rehusada, o si es censurado, o si renuncia o es removido por el Presidente de la República, se produce la crisis total del gabinete
Hatun Rimana Wasi qolluy	Disolución del Congreso
Suyu Kamachiq atinmanmi Hatun Rimana Wasi qolluchiyta sichus Hach’awanqo kunawakunata iskay kutiña p’enqachinku utaq sinchichayninkuta qechunchu cheyqa	El Presidente de la República está facultado para disolver el Congreso si éste ha censurado o negado su confianza a dos Consejos de Ministros
Qolluchiq kamachiy ninan hayk’aqpaqmi waqmanta wajan mosoq ch’ijllikuyman wajasqanta	El decreto de disolución contiene la convocatoria a elecciones para un nuevo Congreso
Chay mosoq ch’ijlluyqa tawa qatiq killapi hoq ch’ijllukuyman, mana hoq ch’ijlluypaq p’unchayta kasqanta kuyuchispa	Dichas elecciones se realizan dentro de los cuatro meses de la fecha de disolución, sin que pueda alterarse el sistema electoral preexistente
Manan Hatun Rimana Wasitaqa qolluchiyta atinkuchu watallaña kausaynin kashiaqtin	No puede disolverse el Congreso en el último año de su mandato
Rimana wasi qolluchisqa cheyqa, pasaq huñunakuypiqa llank’anallanmi, ichaqa manan atikunchu qolluchiytaqa	Disuelto el Congreso, se mantiene en funciones la Comisión Permanente, la cual no puede ser disuelta
Hatun Mana Rimana Wasiqa hoq neray qolluchisqachu kayta atin	No hay otras formas de revocatoria del mandato parlamentario
Auqanakuy ukhupiqa, Hatun Rimana Wasi manan qolluchisqa kanamanchu	Bajo estado de sitio, el Congreso no puede ser disuelto
Mosoq Hatun Rimana Wasi Churay	Instalación del nuevo Congreso
